country,market_priority,region_group,total_leads,qualified_rate,reachable_rate,primary_channel
Lebanon,Primary,Levant,527,20.49,68.31,Social Media
KSA,Primary,GCC,353,8.5,64.59,Social Media
UAE,Primary,GCC,102,7.84,53.92,Social Media
Qatar,Secondary,GCC,81,1.23,61.73,Social Media
India,Secondary,Other,35,0.0,48.57,Social Media
Kuwait,Secondary,GCC,29,0.0,51.72,Social Media
Pakistan,Secondary,Other,26,0.0,53.85,Social Media
Bangladesh,Secondary,Other,11,0.0,63.64,Social Media
Bahrain,Tertiary,GCC,8,25.0,37.5,Social Media
Egypt,Tertiary,Other,6,16.67,33.33,Social Media
Kenya,Tertiary,Other,6,0.0,83.33,Social Media
Philippines,Tertiary,Other,5,20.0,20.0,Social Media
Jordan,Tertiary,Levant,4,0.0,25.0,LinkedIn
Germany,Tertiary,Other,4,50.0,75.0,Organic
Nepal,Tertiary,Other,4,0.0,50.0,Social Media
France,Tertiary,Other,4,50.0,50.0,Organic
Sri Lanka,Tertiary,Other,3,0.0,100.0,Social Media
Sudan,Tertiary,Other,2,0.0,0.0,Social Media
Somalia,Tertiary,Other,2,0.0,100.0,Social Media
Uganda,Tertiary,Other,2,0.0,100.0,Social Media
Belgium,Tertiary,Other,1,0.0,100.0,Organic
Kazakhstan,Tertiary,Other,1,0.0,0.0,Social Media
Kyrgyzstan,Tertiary,Other,1,0.0,100.0,Social Media
Cyprus,Tertiary,Other,1,100.0,100.0,Social Media
Djibouti,Tertiary,Other,1,0.0,100.0,Social Media
Ghana,Tertiary,Other,1,0.0,100.0,Organic
Italy,Tertiary,Other,1,0.0,100.0,Google Search
Liberia,Tertiary,Other,1,0.0,100.0,Google Search
Rwanda,Tertiary,Other,1,0.0,100.0,Social Media
Nigeria,Tertiary,Other,1,0.0,0.0,Google Search
Oman,Tertiary,GCC,1,0.0,100.0,Social Media
Tunisia,Tertiary,Other,1,0.0,100.0,Social Media
Syrian Arab Republic,Tertiary,Other,1,0.0,100.0,Google Search
Turkey,Tertiary,Other,1,0.0,0.0,Social Media
Uzbekistan,Tertiary,Other,1,0.0,100.0,Social Media
