post_id,post_type,region,ad_spend_usd,leads,eligible_leads,qualified_leads,applicants,enrolled
Post1,Conversion,GCC,217.57,6.0,3.0,2.0,,
Post1,Conversion,KSA,254.99,7.0,0.0,0.0,,
Post1,Conversion,Lebanon,243.16,4.0,3.0,0.0,,
Post1,Conversion,UAE,248.34,5.0,1.0,1.0,,
Post1,Retargeting,GCC,44.88,1.0,0.0,0.0,,
Post1,Retargeting,Lebanon,249.22,8.0,5.0,0.0,1.0,1.0
Post2,Conversion,GCC,1175.11,32.0,4.0,2.0,1.0,
Post2,Conversion,KSA,2833.32,75.0,3.0,1.0,,
Post2,Conversion,KSA-Arabic,2366.69,56.0,9.0,8.0,,
Post2,Conversion,Lebanon,6041.32,154.0,47.0,22.0,3.0,1.0
Post2,Conversion,UAE,586.19,15.0,1.0,0.0,,
Post2,Retargeting,GCC,74.59,5.0,1.0,1.0,,
Post2,Retargeting,Lebanon,469.86,10.0,5.0,5.0,1.0,1.0
Post3,Conversion,GCC,832.63,61.0,0.0,0.0,,
Post3,Conversion,KSA,1152.73,85.0,1.0,1.0,1.0,1.0
Post3,Conversion,KSA-Arabic,369.63,6.0,2.0,2.0,,
Post3,Conversion,Lebanon,1061.77,78.0,8.0,3.0,,
Post3,Conversion,UAE,775.91,50.0,0.0,0.0,,
Post3,Retargeting,GCC,126.08,19.0,1.0,0.0,,
Post3,Retargeting,Lebanon,687.33,12.0,6.0,3.0,,
Post3.1,Conversion,GCC,0.0,0.0,,,,
Post3.1,Conversion,KSA,209.19,1.0,0.0,,,
Post3.1,Conversion,Lebanon,163.89,0.0,0.0,,,
Post3.1,Conversion,UAE,0.0,0.0,,,,
Post4,Conversion,GCC,1044.16,15.0,2.0,0.0,,
Post4,Conversion,KSA,2721.91,61.0,10.0,7.0,1.0,
Post4,Conversion,Lebanon,5339.27,61.0,32.0,17.0,1.0,
Post4,Conversion,UAE,592.83,16.0,7.0,3.0,,
Post4,Retargeting,GCC,33.77,2.0,1.0,1.0,1.0,
Post4,Retargeting,Lebanon,571.66,7.0,2.0,2.0,,
Post5,Conversion,GCC,0.0,0.0,0.0,0.0,,
Post5,Conversion,KSA,336.9,3.0,0.0,0.0,,
Post5,Conversion,Lebanon,318.3,2.0,0.0,0.0,,
Post5,Conversion,UAE,211.97,2.0,0.0,0.0,,
Post5,Retargeting,GCC,63.1,3.0,0.0,0.0,,
Post5,Retargeting,Lebanon,404.52,4.0,2.0,1.0,,
Post6,Conversion,GCC,0.0,0.0,,0.0,,
Post6,Conversion,KSA,363.74,9.0,0.0,0.0,,
Post6,Conversion,Lebanon,373.81,4.0,1.0,1.0,,
Post6,Conversion,UAE,251.71,2.0,0.0,0.0,,
Post6,Retargeting,GCC,1.54,0.0,0.0,0.0,,
Post6,Retargeting,Lebanon,267.76,0.0,0.0,0.0,,
Post7,Conversion,GCC,0.0,0.0,0.0,0.0,,
Post7,Conversion,KSA,445.76,2.0,0.0,0.0,,
Post7,Conversion,Lebanon,422.85,0.0,0.0,0.0,,
Post7,Conversion,UAE,119.41,1.0,0.0,0.0,,
Post7,Retargeting,GCC,0.25,0.0,0.0,0.0,,
Post7,Retargeting,Lebanon,134.42,2.0,2.0,2.0,,
Post8,Conversion,GCC,663.43,2.0,,,,
Post8,Conversion,KSA,1769.09,41.0,0.0,0.0,,
Post8,Conversion,KSA-Arabic,763.73,17.0,4.0,4.0,,
Post8,Conversion,Lebanon,5157.76,59.0,1.0,1.0,,
Post8,Conversion,UAE,0.0,0.0,,,,
Post9,Conversion,GCC,0.0,0.0,,,,
Post9,Conversion,KSA,551.61,5.0,0.0,,,
Post9,Conversion,Lebanon,883.66,0.0,0.0,,,
Post9,Conversion,UAE,0.0,0.0,,,,
Post10,Conversion,GCC,450.93,0.0,,,,
Post10,Conversion,KSA,484.52,6.0,0.0,,,
Post10,Conversion,Lebanon,2227.03,19.0,6.0,5.0,1.0,
Post10,Conversion,UAE,,0.0,,,,
Post10,Retargeting,Lebanon,293.8,1.0,0.0,0.0,,
Post10.1,Conversion,GCC,238.43,0.0,,,,
Post10.1,Conversion,KSA,390.92,3.0,0.0,,,
Post10.1,Conversion,Lebanon,669.5,2.0,2.0,2.0,,
Post10.1,Conversion,UAE,,0.0,,,,
Post10.1,Retargeting,Lebanon,105.21,0.0,0.0,0.0,,
Post11,Conversion,GCC,,,,,,
Post11,Conversion,KSA,86.7,1.0,0.0,,,
Post11,Conversion,Lebanon,2161.44,11.0,3.0,3.0,1.0,3.0
Post11,Conversion,UAE,,,,,,
Post11,Retargeting,Lebanon,250.94,0.0,0.0,0.0,,
